rate_hz,frames,case,median_us,p99_us,max_us,median_budget_percent,p99_budget_percent
44100,1,settled,0.041,0.084,0.25,0.18081,0.37044
44100,1,transition_onset,0.625,0.75,1.542,2.75625,3.3075
44100,2,settled,0.042,0.042,0.083,0.09261,0.09261
44100,2,transition_onset,0.667,0.75,0.792,1.470735,1.65375
44100,4,settled,0.083,0.125,0.25,0.0915075,0.1378125
44100,4,transition_onset,0.708,0.792,15.584,0.78057,0.87318
44100,7,settled,0.084,0.125,0.125,0.05292,0.07875
44100,7,transition_onset,0.75,0.834,0.875,0.4725,0.52542
44100,8,settled,0.084,0.208,1.042,0.046305,0.11466
44100,8,transition_onset,0.667,0.75,14.709,0.36768375,0.4134375
44100,16,settled,0.167,0.209,10.333,0.046029375,0.057605625
44100,16,transition_onset,0.667,0.75,0.792,0.183841875,0.20671875
44100,32,settled,0.333,0.458,0.75,0.0458915625,0.063118125
44100,32,transition_onset,0.75,0.834,0.916,0.103359375,0.114935625
44100,64,settled,0.583,0.625,1.083,0.0401723437,0.0430664063
44100,64,transition_onset,1.042,1.125,15.833,0.0718003125,0.0775195313
44100,128,settled,1.125,1.167,1.209,0.0387597656,0.0402067969
44100,128,transition_onset,1.583,1.75,41.292,0.0545392969,0.0602929688
48000,1,settled,0,0.042,0.084,0,0.2016
48000,1,transition_onset,0.458,0.5,0.542,2.1984,2.4
48000,2,settled,0.041,0.167,13.833,0.0984,0.4008
48000,2,transition_onset,0.459,0.541,0.583,1.1016,1.2984
48000,4,settled,0.042,0.083,0.084,0.0504,0.0996
48000,4,transition_onset,0.5,0.542,0.625,0.6,0.6504
48000,7,settled,0.083,0.084,0.334,0.0569142857,0.0576
48000,7,transition_onset,0.541,0.583,0.583,0.370971429,0.399771429
48000,8,settled,0.083,0.084,0.125,0.0498,0.0504
48000,8,transition_onset,0.5,1.209,1.625,0.3,0.7254
48000,16,settled,0.125,0.167,0.167,0.0375,0.0501
48000,16,transition_onset,0.583,0.625,0.625,0.1749,0.1875
48000,32,settled,0.291,0.458,0.75,0.04365,0.0687
48000,32,transition_onset,0.708,0.75,0.791,0.1062,0.1125
48000,64,settled,0.542,0.625,17,0.04065,0.046875
48000,64,transition_onset,1,1.125,1.167,0.075,0.084375
48000,128,settled,1.125,1.208,14.875,0.0421875,0.0453
48000,128,transition_onset,1.542,1.667,1.792,0.057825,0.0625125
88200,1,settled,0,0.042,0.25,0,0.37044
88200,1,transition_onset,0.833,0.875,0.875,7.34706,7.7175
88200,2,settled,0.041,0.042,0.25,0.18081,0.18522
88200,2,transition_onset,0.833,0.958,1.083,3.67353,4.22478
88200,4,settled,0.042,0.083,0.084,0.09261,0.183015
88200,4,transition_onset,0.833,1,14.5,1.836765,2.205
88200,7,settled,0.042,0.084,0.084,0.05292,0.10584
88200,7,transition_onset,0.875,1,1.041,1.1025,1.26
88200,8,settled,0.083,0.084,0.084,0.0915075,0.09261
88200,8,transition_onset,0.875,1.041,1.166,0.9646875,1.1477025
88200,16,settled,0.125,0.208,0.5,0.06890625,0.11466
88200,16,transition_onset,0.958,1.042,1.208,0.5280975,0.5744025
88200,32,settled,0.291,0.334,0.75,0.080206875,0.09205875
88200,32,transition_onset,1.083,1.167,10.166,0.298501875,0.321654375
88200,64,settled,0.542,0.625,15.291,0.074694375,0.0861328125
88200,64,transition_onset,1.334,1.458,15.292,0.183841875,0.200930625
88200,128,settled,1.125,1.333,10.666,0.0775195313,0.0918520312
88200,128,transition_onset,1.917,2.166,2.458,0.132093281,0.149250938
96000,1,settled,0,0.042,0.042,0,0.4032
96000,1,transition_onset,0.875,1,1.084,8.4,9.6
96000,2,settled,0.041,0.083,0.292,0.1968,0.3984
96000,2,transition_onset,0.916,0.959,14.625,4.3968,4.6032
96000,4,settled,0.042,0.084,0.084,0.1008,0.2016
96000,4,transition_onset,0.917,0.959,1,2.2008,2.3016
96000,7,settled,0.083,0.084,0.125,0.113828571,0.1152
96000,7,transition_onset,0.958,1.042,1.083,1.31382857,1.42902857
96000,8,settled,0.083,0.084,0.125,0.0996,0.1008
96000,8,transition_onset,0.917,1.042,1.083,1.1004,1.2504
96000,16,settled,0.125,0.167,0.208,0.075,0.1002
96000,16,transition_onset,1,1.084,8.916,0.6,0.6504
96000,32,settled,0.291,0.334,0.375,0.0873,0.1002
96000,32,transition_onset,1.125,1.209,9.125,0.3375,0.3627
96000,64,settled,0.542,0.625,0.625,0.0813,0.09375
96000,64,transition_onset,1.417,1.459,1.5,0.21255,0.21885
96000,128,settled,1.125,1.209,6.208,0.084375,0.090675
96000,128,transition_onset,1.959,2.208,5.75,0.146925,0.1656
176400,1,settled,0,0.042,0.042,0,0.74088
176400,1,transition_onset,1.583,1.75,1.792,27.92412,30.87
176400,2,settled,0,0.042,0.125,0,0.37044
176400,2,transition_onset,1.584,1.75,1.792,13.97088,15.435
176400,4,settled,0.042,0.083,0.084,0.18522,0.36603
176400,4,transition_onset,1.625,1.875,4.917,7.16625,8.26875
176400,7,settled,0.042,0.084,0.084,0.10584,0.21168
176400,7,transition_onset,1.625,1.833,1.875,4.095,4.61916
176400,8,settled,0.083,0.084,0.125,0.183015,0.18522
176400,8,transition_onset,1.625,1.792,2.5,3.583125,3.95136
176400,16,settled,0.125,0.167,0.208,0.1378125,0.1841175
176400,16,transition_onset,1.708,1.958,18.542,1.88307,2.158695
176400,32,settled,0.291,0.292,0.458,0.16041375,0.160965
176400,32,transition_onset,1.834,2.083,15.292,1.0109925,1.14825375
176400,64,settled,0.542,0.625,0.625,0.14938875,0.172265625
176400,64,transition_onset,2.125,2.416,9.417,0.585703125,0.66591
176400,128,settled,1.125,1.208,2.291,0.155039063,0.1664775
176400,128,transition_onset,2.708,2.958,3.125,0.37319625,0.407649375
192000,1,settled,0,0.042,0.042,0,0.8064
192000,1,transition_onset,1.708,1.917,2.041,32.7936,36.8064
192000,2,settled,0.041,0.042,0.083,0.3936,0.4032
192000,2,transition_onset,1.75,1.917,15.875,16.8,18.4032
192000,4,settled,0.042,0.084,0.084,0.2016,0.4032
192000,4,transition_onset,1.75,2,18.625,8.4,9.6
192000,7,settled,0.042,0.084,0.125,0.1152,0.2304
192000,7,transition_onset,1.791,1.917,2.042,4.91245714,5.25805714
192000,8,settled,0.083,0.084,0.208,0.1992,0.2016
192000,8,transition_onset,1.75,1.959,17.5,4.2,4.7016
192000,16,settled,0.125,0.208,0.25,0.15,0.2496
192000,16,transition_onset,1.833,1.958,2.042,2.1996,2.3496
192000,32,settled,0.25,0.334,0.334,0.15,0.2004
192000,32,transition_onset,1.959,2.208,14.583,1.1754,1.3248
192000,64,settled,0.542,0.625,0.666,0.1626,0.1875
192000,64,transition_onset,2.25,2.542,33.167,0.675,0.7626
192000,128,settled,1.125,1.292,1.375,0.16875,0.1938
192000,128,transition_onset,2.792,3.042,3.25,0.4188,0.4563
